 ,Label,Area,Mean,StdDev,Min,Max,Perim.,Major,Minor,Angle,Circ.,IntDen,Skew,RawIntDen,Ch,Slice,AR,Round,Solidity,Length
1,Ecadgfp_vasa_nospacer_7.nd2:0056-0688-0580:c:2/3 z:19/79 - Ecadgfp_vasa_nospacer_7.nd2 (series 1),0.951,959.074,115.998,791.920,1203.401,5.823,0,0,0,0.352,911.720,0,34526.657,2,19,0.000,0.000,NaN,5.823
2,Ecadgfp_vasa_nospacer_7.nd2:0056-0611-0609:c:2/3 z:19/79 - Ecadgfp_vasa_nospacer_7.nd2 (series 1),1.030,991.080,93.840,840.068,1228.033,6.333,0,0,0,0.323,1020.657,0,38652.111,2,19,0.000,0.000,NaN,6.333
3,Ecadgfp_vasa_nospacer_7.nd2:0056-0631-0493:c:2/3 z:19/79 - Ecadgfp_vasa_nospacer_7.nd2 (series 1),0.449,2113.934,285.368,1704.747,2600.800,2.637,0,0,0,0.811,948.958,0,35936.884,2,19,0.000,0.000,NaN,2.637
4,Ecadgfp_vasa_nospacer_7.nd2:0041-0569-0628:c:2/3 z:14/79 - Ecadgfp_vasa_nospacer_7.nd2 (series 1),0.713,1042.387,186.930,737.579,1283.640,4.333,0,0,0,0.477,743.189,0,28144.451,2,14,0.000,0.000,NaN,4.333
5,Ecadgfp_vasa_nospacer_7.nd2:0041-0569-0561:c:2/3 z:14/79 - Ecadgfp_vasa_nospacer_7.nd2 (series 1),0.819,1018.213,132.757,839.337,1420.243,5.040,0,0,0,0.405,833.503,0,31564.618,2,14,0.000,0.000,NaN,5.040
6,Ecadgfp_vasa_nospacer_7.nd2:0041-0561-0520:c:2/3 z:14/79 - Ecadgfp_vasa_nospacer_7.nd2 (series 1),0.396,2424.946,742.860,1684.927,3926.533,2.419,0,0,0,0.850,960.506,0,36374.190,2,14,0.000,0.000,NaN,2.419
7,Ecadgfp_vasa_nospacer_7.nd2:0125-0627-0661:c:2/3 z:42/79 - Ecadgfp_vasa_nospacer_7.nd2 (series 1),1.188,818.491,70.193,707.725,1032.221,7.186,0,0,0,0.289,972.598,0,36832.108,2,42,0.000,0.000,NaN,7.186
8,Ecadgfp_vasa_nospacer_7.nd2:0125-0589-0658:c:2/3 z:42/79 - Ecadgfp_vasa_nospacer_7.nd2 (series 1),0.924,682.474,58.347,564.733,807.568,5.574,0,0,0,0.374,630.755,0,23886.578,2,42,0.000,0.000,NaN,5.574
9,Ecadgfp_vasa_nospacer_7.nd2:0125-0623-0578:c:2/3 z:42/79 - Ecadgfp_vasa_nospacer_7.nd2 (series 1),0.581,1205.188,128.373,1020.221,1487.316,3.539,0,0,0,0.583,700.139,0,26514.129,2,42,0.000,0.000,NaN,3.539
10,Ecadgfp_vasa_nospacer_8.nd2:0026-0844-0542:c:2/3 z:9/66 - Ecadgfp_vasa_nospacer_8.nd2 (series 1),0.924,1670.346,256.982,1364.425,2143.777,5.505,0,0,0,0.383,1543.765,0,58462.124,2,9,0.000,0.000,NaN,5.505
